iter	Logloss
0	0.6705011782
1	0.6500262717
2	0.6305486928
3	0.6149712604
4	0.5965778517
5	0.5795878535
6	0.5625827955
7	0.5452478823
8	0.5301938928
9	0.5177581124
10	0.5043957254
11	0.4898236814
12	0.4775415172
13	0.4663712875
14	0.4548592941
15	0.443083589
16	0.4342246014
17	0.4247530398
18	0.4150490139
19	0.4078842495
20	0.3984761114
21	0.3901126696
22	0.3821387913
23	0.3747044439
24	0.3688466943
25	0.3612948874
26	0.3537872314
27	0.3478694418
28	0.3404743692
29	0.3339765466
30	0.3278763481
31	0.3222047225
32	0.3172210362
33	0.3129573324
34	0.3075582753
35	0.3032984526
36	0.2987472866
37	0.2941791369
38	0.289488751
39	0.2857780788
40	0.281535273
41	0.2773915498
42	0.2750241155
43	0.2722521077
44	0.2687325685
45	0.2653709577
46	0.262326763
47	0.2600945182
48	0.2575458692
49	0.2551599254
50	0.2521883591
51	0.2495061791
52	0.2468354598
53	0.2443722932
54	0.2421530682
55	0.2394378165
56	0.2377407572
57	0.2348130931
58	0.2322022811
59	0.2296698695
60	0.2278760827
61	0.2257234656
62	0.2239130435
63	0.2221751835
64	0.2207727349
65	0.2191964523
66	0.2177589582
67	0.2164523249
68	0.2150380508
69	0.2133657538
70	0.2117380723
71	0.2104381064
72	0.2090625265
73	0.2075820259
74	0.2064011284
75	0.2052701867
76	0.2034654866
77	0.2020870872
78	0.2010761095
79	0.1996129243
80	0.1985909006
81	0.1976075546
82	0.1965302011
83	0.195321224
84	0.1942900948
85	0.1933539681
86	0.1925257807
87	0.1916311845
88	0.1908558058
89	0.1896474258
90	0.188464256
91	0.1874274047
92	0.1865540878
93	0.1859341165
94	0.1848268924
95	0.1839717699
96	0.1830027373
97	0.1822594684
98	0.1815577466
99	0.1809479423
100	0.1801158407
101	0.179625337
102	0.1788640561
103	0.1781577898
104	0.1774075881
105	0.1769073818
106	0.1761865201
107	0.1756140667
108	0.1749743586
109	0.1742156319
110	0.1735686261
111	0.172912465
112	0.1721484309
113	0.1715030836
114	0.1710481727
115	0.1703718932
116	0.1697440438
117	0.1693593067
118	0.1685464942
119	0.1680379453
120	0.1674010069
121	0.1667721126
122	0.1664426887
123	0.1658748295
124	0.1653277356
125	0.1648437998
126	0.1643511067
127	0.1637224944
128	0.1631612695
129	0.1627878272
130	0.1621602266
131	0.1615319128
132	0.1609426084
133	0.1605497443
134	0.160202922
135	0.1597254878
136	0.1593667735
137	0.1590039129
138	0.1584756271
139	0.1580517976
140	0.1577111452
141	0.1572692705
142	0.1569183847
143	0.1565914652
144	0.1559356026
145	0.1556156158
146	0.1552544304
147	0.1547609578
148	0.1542199176
149	0.1538737256
150	0.1535587311
151	0.1531488336
152	0.1527686078
153	0.1522939931
154	0.1518975631
155	0.1514764205
156	0.1511508444
157	0.1508112037
158	0.1504718283
159	0.1501494034
160	0.1498151365
161	0.1495173081
162	0.1492717909
163	0.1488203795
164	0.1484053902
165	0.1480801126
166	0.1477725817
167	0.1474733104
168	0.1472291863
169	0.1470319167
170	0.1467525316
171	0.1463701331
172	0.1460862201
173	0.1458145142
174	0.1454843272
175	0.1453398165
176	0.1451141689
177	0.1446958791
178	0.1444157144
179	0.144358494
180	0.144068378
181	0.1437371295
182	0.1434978319
183	0.1431585063
184	0.1429076153
185	0.142470053
186	0.1424114227
187	0.1420513319
188	0.1417194532
189	0.1416373211
190	0.1414765731
191	0.1410928146
192	0.1407794289
193	0.1404691447
194	0.1402205757
195	0.1400250642
196	0.1397804426
197	0.1395761407
198	0.1394501562
199	0.1392990444
200	0.1391472858
201	0.1389500328
202	0.1386287523
203	0.1382510227
204	0.1378458852
205	0.1376698038
206	0.137568565
207	0.1373456043
208	0.1371186878
209	0.1369816987
210	0.1367965367
211	0.1365882542
212	0.1364754138
213	0.1362927478
214	0.1361453512
215	0.1359466304
216	0.1355687598
217	0.135327845
218	0.1350647802
219	0.1347500262
220	0.134464919
221	0.1342759008
222	0.1341297647
223	0.1337961694
224	0.1335960554
225	0.1333151195
226	0.1331252222
227	0.132849544
228	0.1326917814
229	0.1324431046
230	0.1322522205
231	0.1320528113
232	0.1317948217
233	0.1317158243
234	0.1314500228
235	0.1311003726
236	0.1309040401
237	0.130726126
238	0.1305081575
239	0.1303482222
240	0.1303262462
241	0.1300999434
242	0.1299566601
243	0.1297869143
244	0.1296190594
245	0.1295178704
246	0.1292977872
247	0.128998914
248	0.1289253069
249	0.1286063567
250	0.1285143645
251	0.1283958186
252	0.1282449142
253	0.1279316446
254	0.1277058145
255	0.127544146
256	0.1274368618
257	0.1273480706
258	0.1272147635
259	0.127004839
260	0.1268337581
261	0.1266612177
262	0.1264369135
263	0.1262703191
264	0.126109513
265	0.1258892391
266	0.1257778085
267	0.1256256933
268	0.1255404099
269	0.1252888223
270	0.1252331029
271	0.1250499062
272	0.1249391722
273	0.1247998279
274	0.1246726741
275	0.1245940001
276	0.1245250951
277	0.1243907431
278	0.1242563082
279	0.1242126133
280	0.1241062496
281	0.1239178367
282	0.1238023509
283	0.1236380453
284	0.1235414422
285	0.1233783473
286	0.1232982718
287	0.1231463474
288	0.1229230549
289	0.1228344793
290	0.1226561173
291	0.122514194
292	0.122346679
293	0.1223209215
294	0.1222309776
295	0.1220995944
296	0.1218962711
297	0.1217799809
298	0.1216209826
299	0.1214434416
300	0.1213059467
301	0.121163559
302	0.1209218398
303	0.1207655865
304	0.1206485665
305	0.1205661525
306	0.1204919898
307	0.1204467856
308	0.1203721503
309	0.1202556278
310	0.120224762
311	0.1201792924
312	0.1199552536
313	0.1198247992
314	0.11975096
315	0.119640002
316	0.1195042154
317	0.1193323716
318	0.1191564228
319	0.1190996419
320	0.1190382584
321	0.1189511424
322	0.1187556391
323	0.1184309752
324	0.1182864645
325	0.1182529118
326	0.1181675123
327	0.1179644875
328	0.1178292979
329	0.1177171624
330	0.1176619654
331	0.1175609754
332	0.1173858974
333	0.1173365386
334	0.1171472467
335	0.1169826839
336	0.1169105696
337	0.1168479754
338	0.1167379379
339	0.1166653094
340	0.1165938087
341	0.1165324833
342	0.1164884484
343	0.1163975094
344	0.1163707236
345	0.1162724536
346	0.116195629
347	0.1160478011
348	0.1157782181
349	0.1157176059
350	0.1155673898
351	0.1153671596
352	0.115289174
353	0.1150967805
354	0.1150322126
355	0.1149630173
356	0.1148925284
357	0.1147918369
358	0.1147327174
359	0.1146366368
360	0.1145484427
361	0.1144529094
362	0.1144212889
363	0.1143392978
364	0.1142338048
365	0.1141756555
366	0.1140023936
367	0.1138754803
368	0.1137506734
369	0.113618859
370	0.1135150246
371	0.113337409
372	0.1132901399
373	0.1131355037
374	0.1130962869
375	0.112962275
376	0.1127929605
377	0.1127181178
378	0.1126012885
379	0.1124988888
380	0.1124103463
381	0.1123496512
382	0.1122245042
383	0.1121085623
384	0.112018353
385	0.11182212
386	0.1117532647
387	0.1117195627
388	0.1116375799
389	0.1114729093
390	0.1114143372
391	0.1113019363
392	0.1111713078
393	0.1110626635
394	0.1110415251
395	0.1108925032
396	0.1107971026
397	0.1105886128
398	0.1104909316
399	0.1104379737
400	0.1103530967
401	0.1102707241
402	0.1101756718
403	0.1100757599
404	0.1100142603
405	0.1099338697
406	0.1098904817
407	0.1098582226
408	0.1097844912
409	0.1097262673
410	0.1096821744
411	0.1095356485
412	0.1094686176
413	0.1094222359
414	0.1092626157
415	0.1092054035
416	0.1091043721
417	0.1089626478
418	0.108944528
419	0.1087285083
420	0.1086703176
421	0.108602615
422	0.1084265916
423	0.1082767155
424	0.1080848528
425	0.1080119921
426	0.1079445383
427	0.1078928243
428	0.1076263096
429	0.1075563348
430	0.1074920488
431	0.1074429388
432	0.1074056294
433	0.1072800512
434	0.107206809
435	0.107115306
436	0.1070468903
437	0.1069087153
438	0.1068191197
439	0.106688657
440	0.1066231437
441	0.1065228421
442	0.1063947346
